variable,class,description,units,calculation,notes
lh.SA.bankssts,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.bankssts,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.bankssts,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.caudalanteriorcingulate,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.caudalanteriorcingulate,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.caudalanteriorcingulate,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.caudalmiddlefrontal,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.caudalmiddlefrontal,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.caudalmiddlefrontal,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.cuneus,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.cuneus,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.cuneus,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.entorhinal,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.entorhinal,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.entorhinal,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.fusiform,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.fusiform,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.fusiform,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.inferiorparietal,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.inferiorparietal,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.inferiorparietal,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.inferiortemporal,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.inferiortemporal,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.inferiortemporal,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.isthmuscingulate,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.isthmuscingulate,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
lh.CT.isthmuscingulate,numeric,"cortical thickness of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm,,NA
lh.SA.lateraloccipital,numeric,"surface area of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^2,,NA
lh.GM.lateraloccipital,numeric,"volume of specified region as defined by Desikan-Killiany atlas, left hemisphere",mm^3,,NA
